"","tSNE1","tSNE2","factor"
"TCGA-2Z-A9JI",-6.16301261349464,-23.4522980550666,"3"
"TCGA-L5-A4OO",9.36410577221681,11.4086342753657,"22"
"TCGA-HC-A48F",-23.1623682534719,16.0442665051016,"5"
"TCGA-B5-A3FA",-8.07242013877004,15.2597092679269,"8"
"TCGA-HC-A6HX",-19.3361169066509,11.5306804410068,"5"
"TCGA-97-7547",2.9219985658131,-5.94018508803094,"15"
"TCGA-CZ-5469",-3.68965623941441,-16.2685246254056,"4"
"TCGA-IB-A5SO",0.94634115182419,6.64579586411621,"16"
"TCGA-QG-A5Z2",12.6235777029014,18.954837899533,"10"
"TCGA-IB-AAUV",-0.403166281582523,3.25123708153291,"7"
"TCGA-56-8305",17.0418441132708,-9.93515664125947,"1"
"TCGA-FU-A5XV",23.6074362729249,0.832363773830738,"9"
"TCGA-VS-A9UZ",-1.30560944395867,15.8207471610468,"9"
"TCGA-AD-6548",16.1157518754215,20.065704521904,"10"
"TCGA-V5-A7RB",12.7346501654163,15.0842271508771,"22"
"TCGA-UE-A6QT",-1.38848081835483,0.205867863720965,"7"
"TCGA-DX-A23R",-6.74067995427241,-3.44093703030531,"18"
"TCGA-BJ-A0ZA",8.83328797598648,-33.6561691220834,"19"
"TCGA-WB-A818",-28.765960833548,-16.2570675207091,"13"
"TCGA-DD-A113",-2.945513953127,30.7018295058643,"2"
"TCGA-IW-A3M5",-7.07905771488937,-3.28665951021887,"18"
"TCGA-H9-A6BX",-20.4315907878278,10.4929677614532,"5"
"TCGA-TM-A7C3",-32.2390940392071,-5.14978281247008,"23"
"TCGA-IQ-7630",19.037447622671,-0.362398118719035,"12"
"TCGA-BR-8487",10.8928470298133,16.7229829723877,"22"
"TCGA-QT-A5XL",-24.7094293410669,-13.9063385333925,"13"
"TCGA-SG-A6Z4",-3.92516210085977,-3.86471382389851,"14"
"TCGA-ED-A7PY",-4.63659169043082,31.5873980520634,"2"
"TCGA-FU-A3YQ",22.3347885530474,2.39440804983244,"9"
"TCGA-HZ-A4BK",0.859046709310012,9.50890175110525,"16"
"TCGA-2W-A8YY",-6.59468649448871,20.4499937097486,"8"
"TCGA-91-6829",4.88556504424643,-8.75643631034198,"15"
"TCGA-34-5240",17.9563027346564,-10.3685000555191,"1"
"TCGA-B0-4848",-3.015749844483,-17.292610972301,"4"
"TCGA-L5-A8NE",5.79128847997384,14.0677715681252,"22"
"TCGA-L5-A88V",8.55444865097697,19.2040349677445,"22"
"TCGA-BI-A0VR",23.5966892334774,3.68974790374713,"9"
"TCGA-RW-A7D0",-27.9720062596198,-16.8923024311115,"13"
"TCGA-DX-A8BN",-3.45467268354828,-1.58374976842153,"14"
"TCGA-CG-5733",3.74968855825972,16.1065544614205,"22"
"TCGA-SX-A71U",-9.84610665817711,-24.6695021860809,"6"
"TCGA-BR-6565",6.05251705233921,10.2617127847695,"22"
"TCGA-B8-A54E",-7.73373165277942,-20.79735981708,"3"
"TCGA-EK-A2RK",25.6115863814846,2.93506979251738,"9"
"TCGA-AD-6901",14.6561420504194,21.2930996248708,"10"
"TCGA-21-5787",8.92650627235715,-1.52777317823088,"15"
"TCGA-ZG-A9L9",-20.4613594117173,15.1499019050294,"5"
"TCGA-VQ-A8P2",12.6090204289034,16.910637543543,"10"
"TCGA-4K-AA1H",19.9930833612487,-17.2665061178911,"17"
"TCGA-VS-A9V1",-0.73207393654959,16.2144139868248,"9"
"TCGA-CM-4748",15.0259535947182,20.7645789217061,"10"
"TCGA-FP-A9TM",9.47194640653931,15.6493772462073,"22"
"TCGA-IM-A3U2",12.0847843293232,-28.0691344123517,"19"
"TCGA-AJ-A8CW",-7.57544607004479,20.3441321067531,"8"
"TCGA-SP-A6QK",-26.3662402899346,-16.9420764662063,"13"
"TCGA-BT-A20O",-0.363894164101179,-1.84640969555296,"7"
"TCGA-CN-A49C",24.2023235357837,5.08847966613919,"9"
"TCGA-FI-A2EX",-8.70627567009065,12.9868828900439,"8"
"TCGA-BS-A0V8",-10.5465040952507,16.3346324158931,"8"
"TCGA-S7-A7WR",-27.9488542512543,-15.9200220559383,"13"
"TCGA-DX-A7EL",-14.8487696755513,-4.38011878962091,"21"
"TCGA-EK-A3GJ",26.9066031169332,4.52389171221686,"9"
"TCGA-55-7907",5.59311951267773,-4.52174987105349,"15"
"TCGA-WY-A858",-33.5208079763632,-1.57043099004662,"23"
"TCGA-DD-A11D",-1.85487959396804,30.9238255667395,"2"
"TCGA-FI-A2EY",-9.70815233140787,13.535162265173,"8"
"TCGA-C5-A7X5",26.8691819377451,4.45365275817677,"9"
"TCGA-S9-A7IS",-32.5093821356304,0.679140998600385,"23"
"TCGA-E3-A3E5",11.0549620389997,-31.525591668432,"19"
"TCGA-XE-AANV",21.3382293981798,-19.256871276649,"17"
"TCGA-QL-A97D",13.8696633648955,21.2871716199921,"10"
"TCGA-P3-A6T0",19.3937572836103,-2.83943470534014,"12"
"TCGA-D8-A1JL",-8.02268462257908,4.70864034699814,"7"
"TCGA-DX-A7ER",-9.17422541164024,-0.554642945185113,"18"
"TCGA-MH-A854",-8.16667550952622,-26.5079854113287,"6"
"TCGA-DJ-A3VA",11.0974119721304,-30.5984967883245,"19"
"TCGA-KB-A93G",1.02147722469647,4.69395959370576,"7"
"TCGA-G7-A8LB",-9.63965883721294,-26.6162012889393,"6"
"TCGA-C8-A27A",-13.4318087384893,9.40356191555791,"11"
"TCGA-A5-A2K3",5.05216017971558,-0.886584927994636,"15"
"TCGA-AO-A126",-13.4221279504443,6.7556753730087,"11"
"TCGA-FV-A3I1",-0.313682711444024,32.5937199591693,"2"
"TCGA-EJ-7321",-22.2963572661295,13.9423767601326,"5"
"TCGA-PC-A5DP",-15.2683277393248,-4.0518708364441,"21"
