"","sample","cor","split","analysis","features","hubness"
"269","ACH-000435",0.554600738404552,"test","gex","gex_only","with_hubness"
"270","ACH-000436",0.578984642168353,"test","gex","gex_only","with_hubness"
"271","ACH-000437",0.61086066442989,"test","gex","gex_only","with_hubness"
"272","ACH-000438",0.58259249285788,"test","gex","gex_only","with_hubness"
"273","ACH-000441",0.584132091159125,"test","gex","gex_only","with_hubness"
"274","ACH-000442",0.578769115122462,"test","gex","gex_only","with_hubness"
"275","ACH-000444",0.59224716314252,"test","gex","gex_only","with_hubness"
"276","ACH-000445",0.562195785859047,"test","gex","gex_only","with_hubness"
"277","ACH-000448",0.584519333277363,"test","gex","gex_only","with_hubness"
"278","ACH-000450",0.567641400225306,"test","gex","gex_only","with_hubness"
"279","ACH-000452",0.620292155177676,"test","gex","gex_only","with_hubness"
"280","ACH-000454",0.560572960342352,"test","gex","gex_only","with_hubness"
"281","ACH-000455",0.614154436651244,"test","gex","gex_only","with_hubness"
"282","ACH-000456",0.624353182477116,"test","gex","gex_only","with_hubness"
"283","ACH-000458",0.603052098286503,"test","gex","gex_only","with_hubness"
"284","ACH-000460",0.613432111082437,"test","gex","gex_only","with_hubness"
"285","ACH-000461",0.594604991758859,"test","gex","gex_only","with_hubness"
"286","ACH-000463",0.578335702969751,"test","gex","gex_only","with_hubness"
"287","ACH-000464",0.585280802671213,"test","gex","gex_only","with_hubness"
"288","ACH-000466",0.564032637097827,"test","gex","gex_only","with_hubness"
"289","ACH-000467",0.584707944895738,"test","gex","gex_only","with_hubness"
"290","ACH-000468",0.568278405344671,"test","gex","gex_only","with_hubness"
"291","ACH-000469",0.5996260530494,"test","gex","gex_only","with_hubness"
"292","ACH-000470",0.55225048838714,"test","gex","gex_only","with_hubness"
"293","ACH-000471",0.586218653273948,"test","gex","gex_only","with_hubness"
"294","ACH-000472",0.611539483691511,"test","gex","gex_only","with_hubness"
"295","ACH-000473",0.553706446336186,"test","gex","gex_only","with_hubness"
