"","target","metric","Method","value","finetuning"
"136","Crizotinib","pearson_corr","DirectPred",0.206343245431688,"No Fine Tuning"
"137","Crizotinib","pearson_corr","DirectPred",0.0687013958294536,"No Fine Tuning"
"138","Crizotinib","pearson_corr","DirectPred",0.114986485451312,"No Fine Tuning"
"139","Crizotinib","pearson_corr","DirectPred",0.262780892675007,"No Fine Tuning"
"140","Crizotinib","pearson_corr","DirectPred",0.189821691576872,"No Fine Tuning"
"141","Crizotinib","pearson_corr","DirectPred",0.242131792853029,"No Fine Tuning"
"142","Crizotinib","pearson_corr","DirectPred",0.185601976654315,"No Fine Tuning"
"143","Crizotinib","pearson_corr","DirectPred",0.197042551996003,"No Fine Tuning"
"144","Crizotinib","pearson_corr","DirectPred",0.272209644562013,"No Fine Tuning"
"145","Crizotinib","pearson_corr","DirectPred",0.0977664957323155,"No Fine Tuning"
"146","Crizotinib","pearson_corr","DirectPred",0.295921720896252,"No Fine Tuning"
"147","Crizotinib","pearson_corr","DirectPred",0.24997851645056,"No Fine Tuning"
"148","Crizotinib","pearson_corr","DirectPred",0.255558906628325,"No Fine Tuning"
"149","Crizotinib","pearson_corr","DirectPred",0.241774463277031,"No Fine Tuning"
"150","Crizotinib","pearson_corr","DirectPred",0.224033908435936,"No Fine Tuning"
"151","Crizotinib","pearson_corr","DirectPred",0.185054942237183,"No Fine Tuning"
"152","Crizotinib","pearson_corr","DirectPred",0.154485250219174,"No Fine Tuning"
"153","Crizotinib","pearson_corr","DirectPred",0.185722396507284,"No Fine Tuning"
"154","Crizotinib","pearson_corr","DirectPred",0.251228543089625,"No Fine Tuning"
"155","Crizotinib","pearson_corr","DirectPred",0.218183636094325,"No Fine Tuning"
"156","Crizotinib","pearson_corr","DirectPred",0.221640357258635,"No Fine Tuning"
"157","Crizotinib","pearson_corr","DirectPred",0.184848790474321,"No Fine Tuning"
"158","Crizotinib","pearson_corr","DirectPred",0.176804304114183,"No Fine Tuning"
"159","Crizotinib","pearson_corr","DirectPred",0.249064562876739,"No Fine Tuning"
