"","gnn_conv","group","prefix","task","tool","target","batch","event","time","data_types","fusion","hpo_iter","early_stop_patience","features_min","feature_perc","log_transform","use_loss_weighting","finetuning_samples","method","var","variable_type","metric","value","score","top","ranking","omics","learning","finetuning"
"32","SAGE","metabric_CLAUDIN_SUBTYPE","analysis174","metabric","GNN","CLAUDIN_SUBTYPE",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","CLAUDIN_SUBTYPE","categorical","f1_score",0.74158542224402,94.6,0,10,"multi","deep_learning","no_finetuning"
"33","GCN","metabric_CLAUDIN_SUBTYPE","analysis176","metabric","GNN","CLAUDIN_SUBTYPE",NA,"","","gex,cna","early",100,10,500,20,FALSE,TRUE,0,"GNN","CLAUDIN_SUBTYPE","categorical","f1_score",0.75631498711332,96.5,0,3,"multi","deep_learning","no_finetuning"
"34","GC","msi_status_msi","analysis197","msi_status","GNN","msi",NA,"","","gex,meth","early",100,10,500,20,FALSE,TRUE,0,"GNN","msi","categorical","f1_score",0.957264138067001,100,1,1,"multi","deep_learning","no_finetuning"
"35","SAGE","msi_status_msi","analysis198","msi_status","GNN","msi",NA,"","","gex,meth","early",100,10,500,20,FALSE,TRUE,0,"GNN","msi","categorical","f1_score",0.950530035335689,99.3,0,5,"multi","deep_learning","no_finetuning"
"36","GCN","msi_status_msi","analysis199","msi_status","GNN","msi",NA,"","","gex,meth","early",100,10,500,20,FALSE,TRUE,0,"GNN","msi","categorical","f1_score",0.949731854325494,99.2,0,6,"multi","deep_learning","no_finetuning"
"37","GC","singlecell_bonemarrow_celltype_l1","analysis213","singlecell_bonemarrow","GNN","celltype_l1",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l1","categorical","f1_score",0.987610016778236,99.8,0,3,"single","deep_learning","no_finetuning"
"38","SAGE","singlecell_bonemarrow_celltype_l1","analysis214","singlecell_bonemarrow","GNN","celltype_l1",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l1","categorical","f1_score",0.989318207837988,100,0,1,"single","deep_learning","no_finetuning"
"39","GCN","singlecell_bonemarrow_celltype_l1","analysis215","singlecell_bonemarrow","GNN","celltype_l1",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l1","categorical","f1_score",0.984951042290564,99.5,0,6,"single","deep_learning","no_finetuning"
"40","GC","singlecell_bonemarrow_celltype_l2","analysis205","singlecell_bonemarrow","GNN","celltype_l2",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l2","categorical","f1_score",0.757132888853846,96.1,0,3,"single","deep_learning","no_finetuning"
"41","SAGE","singlecell_bonemarrow_celltype_l2","analysis206","singlecell_bonemarrow","GNN","celltype_l2",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l2","categorical","f1_score",0.754196078859197,95.7,0,4,"single","deep_learning","no_finetuning"
"42","GCN","singlecell_bonemarrow_celltype_l2","analysis207","singlecell_bonemarrow","GNN","celltype_l2",NA,"","","RNA","early",100,10,500,20,FALSE,TRUE,0,"GNN","celltype_l2","categorical","f1_score",0.752839140831715,95.5,0,5,"single","deep_learning","no_finetuning"
